2026-01-17 00:52:09,376 | DEBUG | selenium.webdriver.remote.remote_connection | POST http://127.0.0.1:57721/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "platformName": "any", "goog:chromeOptions": {"excludeSwitches": ["enable-logging"], "extensions": [], "args": ["--headless", "--no-sandbox", "--disable-dev-shm-usage", "--log-level=3", "--silent", "--window-size=1920,1080", "user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"]}}}, "desiredCapabilities": {"browserName": "chrome", "version": "", "platform": "ANY", "goog:chromeOptions": {"excludeSwitches": ["enable-logging"], "extensions": [], "args": ["--headless", "--no-sandbox", "--disable-dev-shm-usage", "--log-level=3", "--silent", "--window-size=1920,1080", "user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"]}}}
2026-01-17 00:52:09,377 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:57721
2026-01-17 00:52:10,342 | DEBUG | urllib3.connectionpool | http://127.0.0.1:57721 "POST /session HTTP/1.1" 500 1150
2026-01-17 00:52:10,343 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-17 00:52:26,035 | INFO | __main__ | Iniciando scraper para https://quotes.toscrape.com/
2026-01-17 00:52:26,035 | INFO | __main__ | Acessando página: https://quotes.toscrape.com/
2026-01-17 00:52:26,035 | DEBUG | __main__ | HTTP GET: https://quotes.toscrape.com/
2026-01-17 00:52:26,037 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): quotes.toscrape.com:443
2026-01-17 00:52:26,821 | DEBUG | urllib3.connectionpool | https://quotes.toscrape.com:443 "GET / HTTP/1.1" 200 11064
2026-01-17 00:52:26,985 | INFO | __main__ | 10 citações coletadas
2026-01-17 00:52:26,991 | INFO | __main__ | Acessando página: https://quotes.toscrape.com/page/2/
2026-01-17 00:52:26,991 | DEBUG | __main__ | HTTP GET: https://quotes.toscrape.com/page/2/
